x,y
0.926,0.4499
-2.32,5.0094
-6.488,42.3132
-9.469,104.8779
3.037,5.8858
-3.834,17.163
-8.752,162.6637
5.942,38.0057
-4.276,21.3833
-0.621,0.2088
8.032,83.4299
4.289,17.7051
1.83,2.1029
-4.102,23.5548
9.615,130.348
1.828,2.0986
-9.269,116.0295
-2.257,4.2849
1.56,1.1917
3.263,8.1622
-3.693,13.6169
1.95,2.6682
0.033,0.0003
8.558,152.9736
6.182,36.1503
-7.013,81.7224
-5.359,37.783
-6.061,43.0177
8.329,118.4696
-6.292,39.1466
6.538,53.3403
-3.92,20.079
8.267,108.8606
4.425,17.2414
8.311,115.4945
-3.141,6.687
6.723,67.5178
-7.008,81.0287
-5.314,35.3576
-9.866,143.1036
-8.557,128.6428
7.519,67.5899
8.969,114.8378
3.306,8.778
-0.846,0.4759
1.022,0.5069
9.991,206.8154
-1.096,0.6902
-2.293,4.6915
9.643,134.356
-1.89,1.9919
-3.26,7.0817
-7.247,98.4688
9.596,127.7699
1.169,0.6334
6.105,35.7745
-7.474,82.3298
-3.239,6.9558
-6.184,40.8637
-3.511,10.3041
6.87,84.8992
9.048,110.1533
1.624,1.3754
-2.017,2.5492
-0.713,0.2997
-0.882,0.5216
0.08,0.002
7.694,63.0398
2.732,5.6283
-6.862,65.9428
8.752,131.5418
-0.73,0.3203
6.831,79.8219
4.212,17.9392
2.564,5.5102
3.497,11.9786
-3.247,6.9997
7.945,75.7249
-7.774,71.1161
4.086,18.5678
7.444,70.0272
-9.707,120.6981
-5.433,42.6899
-7.097,92.9798
-2.744,6.7303
-9.852,141.009
-9.328,112.2142
-3.414,8.7879
-9.339,111.5063
2.306,5.4251
-7.452,83.422
-6.647,51.1441
-1.902,2.0366
-6.078,42.7249
2.326,5.4628
6.153,35.8148
-4.462,20.3637
7.474,69.0635
-4.701,19.2746
-3.495,10.0462
5.28,42.7746
-6.551,45.5142
0.696,0.3381
4.365,17.4662
-9.866,143.057
5.175,35.7664
0.059,0.0011
1.858,2.2208
6.632,59.7419
-1.288,0.899
-4.606,19.7551
-3.669,13.1251
-3.179,6.7416
2.142,4.1773
-3.477,9.7621
1.552,1.1725
5.209,37.8116
-0.747,0.341
4.79,21.2881
0.036,0.0004
-0.332,0.043
6.174,36.0329
-7.295,94.8489
-3.156,6.7025
-7.464,82.7808
-4.965,22.459
-7.752,71.9328
0.123,0.0051
-9.226,118.7956
-3.499,10.109
6.787,74.4279
-5.176,29.4506
-4.844,19.767
4.401,17.3326
-8.655,149.1587
-7.049,86.5773
8.798,126.8715
6.182,36.1516
6.449,47.9463
0.649,0.2947
-8.28,92.1372
8.018,82.1421
-8.476,115.0711
6.672,62.924
9.829,164.7456
9.039,110.696
-5.719,52.452
4.234,17.8671
-9.384,108.6929
7.047,90.7076
3.811,20.4499
-7.735,72.5537
-4.059,23.63
-2.542,7.0118
3.383,9.9536
-6.128,41.8527
-7.559,78.756
-4.143,23.1005
2.441,5.4711
-2.117,3.1205
4.905,24.7631
1.93,2.5578
-7.371,88.5505
7.185,80.5064
3.473,11.513
-5.77,50.3352
-8.738,161.9389
0.642,0.2879
-4.816,19.4481
-1.089,0.6842
-2.26,4.3133
5.396,48.9838
-6.101,42.3295
7.752,63.5291
3.419,10.5456
-3.447,9.2919
-3.021,6.6835
2.808,5.6394
5.14,33.8745
5.859,39.2776
-7.748,72.0791
0.038,0.0004
-0.82,0.4402
-8.843,156.6814
-2.653,6.848
3.64,15.46
1.458,0.9703
9.703,142.9479
6.02,36.7313
1.758,1.8303
5.904,38.5963
-5.166,29.0944
5.116,32.6661
8.683,140.0472
-3.906,19.588
-8.264,90.5276
0.489,0.1401
2.106,3.8183
-6.053,43.1374
-9.419,106.7471
